subject,studyday,studyday_frac,performance,stress
1,1,0.38,0.39317404062598005,7.905561210358152
1,2,1.79,-0.6519367728925172,6.861336101192673
1,3,2.58,-0.22489369399077508,7.3773796648051055
1,4,3.38,6.914230618414381,5.361727072547135
1,5,4.58,3.0286160659751244,7.05550566513385
1,6,5.38,8.719106017905526,5.036938358944689
1,8,7.79,1.1815242464731797,6.567618885898137
1,9,8.79,5.16137412636043,5.921293626775439
1,11,10.38,9.690755688575162,5.170554159763413
1,12,11.58,7.0369457162864,6.270540942949431
1,13,12.38,3.4166086469207344,6.808143151402138
1,14,13.79,6.172636180874606,6.539574538855024
2,2,1.79,3.952166158111309,2.050166897621918
2,4,3.58,5.532689083183826,1.465524655268486
2,6,5.38,-0.2855573650088239,3.12435183787373
2,7,6.58,2.1343186815324406,1.916728275158326
2,8,7.38,-2.07218314757889,3.392661042746971
2,9,8.79,0.24838038680589525,3.3582987002123277
2,10,9.79,-0.7366914647156231,2.7795485695020474
2,12,11.38,1.6025467508261868,1.3639230182288236
3,1,0.79,0.25649909427801776,4.664926925002827
3,3,2.58,4.648510599829121,4.691545677248509
3,4,3.58,6.3514091455230455,3.215686360193943
3,5,4.79,-3.7613901527286915,5.924880420483594
3,7,6.58,1.4087280280943022,5.009101457588393
3,10,9.58,-5.6532164122891775,5.275511463716316
3,11,10.38,-7.823387449780881,5.9261413459873555
3,12,11.38,-7.123708663798169,6.601851594008482
3,14,13.38,-1.2250521827863246,3.638605488224174
4,1,0.58,-19.153597777925146,7.666283077747112
4,2,1.38,-6.428594902564923,4.064254534762177
4,3,2.38,-8.695335258798732,4.98036278806924
4,6,5.58,-16.628689875990023,5.528501221665503
4,8,7.79,-8.895519699760767,4.302607815662197
4,10,9.58,-11.348424278896,6.221698035401368
4,12,11.58,-7.191245962359183,4.486002181131314
4,13,12.79,-6.971376673751768,4.622503541049438
4,14,13.58,-13.026149708065837,7.768754161393813
5,1,0.79,6.188331312116532,4.053690785010606
5,2,1.58,10.07217473050803,4.5293345839139185
5,5,4.38,20.92905713759435,1.4369392386640296
5,6,5.58,18.63778944971233,4.175517143641983
5,7,6.58,13.241452126152982,4.018497377083613
5,8,7.79,19.011419416767268,2.18601420069304
5,9,8.79,14.371775359428892,3.7072068675318888
5,10,9.58,10.940853877348395,2.910626705621929
5,11,10.79,7.040695173502812,2.905956552512646
5,13,12.58,5.532512241966748,3.910074323979217
6,1,0.79,12.071400524047183,1.3342126551477975
6,3,2.38,14.817900874642245,1.510989196702558
6,4,3.79,12.814523589186383,2.83877327012224
6,5,4.58,15.786534448934404,0.5953794854044884
6,9,8.38,11.52298593333025,1.2295067272548128
6,11,10.79,11.787160120772256,1.4958859827947322
6,12,11.79,15.099231156231188,2.1787503875017644
6,13,12.58,15.155509686485418,-0.1412442472961486
6,14,13.79,12.679185490389688,1.2812281492589277
7,2,1.79,-4.280317408305974,4.081504255171848
7,3,2.38,-1.5272982305889755,2.3418564187522244
7,4,3.38,-0.14038756001881514,2.2976931393841578
7,5,4.79,-8.672370679858222,5.407055438600588
7,6,5.58,-11.496296134127746,4.8126960134603225
7,8,7.58,-3.831783473089439,3.147973130323285
7,10,9.79,-7.923983973839787,4.198898270692805
7,13,12.58,-6.653256107528316,3.722224803282624
7,14,13.79,-5.0104554853044,2.9711050914067587
8,2,1.38,10.076654566531944,4.467189907943229
8,4,3.58,11.95010600692413,2.6659939150153042
8,5,4.79,11.817178298133882,3.6392358091733406
8,6,5.58,8.700437676600895,4.171964399707768
8,8,7.79,5.235875487220195,4.8614673732809095
8,9,8.38,12.200620783477754,2.6716899227779103
8,10,9.38,7.136168837839745,5.074938594011913
8,11,10.38,9.708910457407116,5.985465031886001
8,12,11.38,14.080419275913355,3.6172139779770127
8,13,12.79,15.17439388667648,2.4500922192140955
9,1,0.38,-3.296043523178973,4.2403747939737455
9,2,1.38,-4.447140983158786,4.506974584757864
9,3,2.38,-11.040508725889739,5.792018110756338
9,5,4.38,-11.025640671645622,6.822734473998625
9,6,5.58,-6.506730474133004,5.198943888728188
9,7,6.38,-6.933010338414075,4.143808596899886
9,8,7.58,-4.035783028497136,4.5541190452205065
9,10,9.79,-16.181893478797136,6.550379401802745
9,11,10.38,-7.0305993733756935,3.427260373939335
9,12,11.79,-7.343922787042713,5.131674891749693
9,13,12.79,-5.807978446898836,4.444308504432563
10,1,0.58,-0.30397423547840585,5.327784154905333
10,2,1.38,3.7970795054060247,4.695111767887596
10,4,3.79,1.8216698486443956,3.942316101607929
10,6,5.38,2.4850812042426678,2.128818751201593
10,7,6.79,-8.274131339713854,4.579481815490671
10,8,7.79,-2.7486315620781197,2.8856193801335586
10,9,8.38,-3.1433435075544254,3.660006699694688
10,12,11.38,-8.649510223293436,6.129328266850749
10,13,12.38,-7.672415724357066,6.397414011773824
10,14,13.79,-7.198428120220247,5.582406778963556
11,2,1.58,-9.82895787425749,4.594712229352097
11,3,2.79,-6.056066374860537,3.6702636246530758
11,4,3.38,-8.493791655908984,4.968594546693298
11,5,4.38,-6.2456789840968,5.390186527458162
