subject,motivation,study_day,meditated,focus_score
1,41.8,12,1,42.4
1,41.8,19,0,39.5
1,41.8,26,0,33.5
1,41.8,33,1,35.7
1,41.8,40,0,30.2
1,41.8,47,1,38.4
2,47.5,12,0,43.1
2,47.5,19,0,41.8
2,47.5,26,0,45.2
2,47.5,33,1,56.4
2,47.5,40,0,48.9
2,47.5,47,0,53.8
3,54.6,12,0,46.5
3,54.6,19,0,51.2
3,54.6,26,0,53.4
3,54.6,33,0,55.2
3,54.6,40,1,63.8
3,54.6,47,0,65.6
4,56.7,12,0,44.8
4,56.7,19,1,50.8
4,56.7,26,0,56.5
4,56.7,33,1,63.1
4,56.7,40,0,68.3
4,56.7,47,1,80.4
5,54.9,12,0,50.9
5,54.9,19,1,58.2
5,54.9,26,0,57.4
5,54.9,33,1,72.2
5,54.9,40,1,77.4
5,54.9,47,1,82.7
6,60.8,12,1,43.3
6,60.8,19,0,43.8
6,60.8,26,0,49.5
6,60.8,33,0,57.2
6,60.8,40,0,62.1
6,60.8,47,1,73.5
7,61.5,12,1,55.9
7,61.5,19,0,55
7,61.5,26,1,61.4
7,61.5,33,1,63.8
7,61.5,40,0,58.5
7,61.5,47,1,66.9
8,33.8,12,0,24.4
8,33.8,19,1,31.8
8,33.8,26,0,26.6
8,33.8,33,0,30
8,33.8,40,0,40
8,33.8,47,0,38.7
9,61.3,12,1,52.9
9,61.3,19,0,53.4
9,61.3,26,0,58.6
9,61.3,33,0,59.6
9,61.3,40,1,73.1
9,61.3,47,1,83.6
10,55.9,12,0,45.9
10,55.9,19,1,42.4
10,55.9,26,1,52.8
10,55.9,33,0,50.9
10,55.9,40,0,51.3
10,55.9,47,0,61.9
11,42.6,12,0,31.6
11,42.6,19,0,37.4
11,42.6,26,0,36.8
11,42.6,33,0,49.9
11,42.6,40,1,51.2
11,42.6,47,1,55.6
12,52.5,12,0,49.2
12,52.5,19,1,61.2
12,52.5,26,0,54.8
12,52.5,33,0,58.8
12,52.5,40,0,59
12,52.5,47,0,58.9
13,46.6,12,1,43.7
13,46.6,19,1,48.8
13,46.6,26,0,49.5
13,46.6,33,0,49.3
13,46.6,40,0,47.6
13,46.6,47,0,48.4
14,59.5,12,0,50.9
14,59.5,19,0,56.8
14,59.5,26,1,70.6
14,59.5,33,0,83
14,59.5,40,0,86.1
14,59.5,47,0,93.5
15,43.4,12,0,29.4
15,43.4,19,0,34.3
15,43.4,26,0,30.8
15,43.4,33,0,30.1
15,43.4,40,0,33.4
15,43.4,47,1,42.2
16,56.8,12,0,53.8
16,56.8,19,0,53.3
16,56.8,26,0,55.3
16,56.8,33,0,57.2
16,56.8,40,1,75.8
16,56.8,47,0,77.1
17,50.8,12,0,37.7
17,50.8,19,1,43
17,50.8,26,0,50.2
17,50.8,33,0,50.1
17,50.8,40,0,56
17,50.8,47,0,65
18,55.3,12,0,48.6
18,55.3,19,0,36.8
18,55.3,26,1,47.9
18,55.3,33,0,38.4
18,55.3,40,0,45.1
18,55.3,47,0,47.5
19,58.8,12,1,52.8
19,58.8,19,0,55
19,58.8,26,1,56.4
19,58.8,33,0,56
19,58.8,40,0,54.7
19,58.8,47,0,57.9
20,51.4,12,0,39
20,51.4,19,1,48.5
20,51.4,26,0,55
20,51.4,33,0,53.2
20,51.4,40,0,60.1
20,51.4,47,0,66.8
