school,student,female,ses,math,puniv,public
1,6701,1,0.586,47.14,0.083333333,0
1,6702,1,0.304,63.61,0.083333333,0
1,6703,1,-0.544,57.71,0.083333333,0
1,6704,0,-0.848,53.9,0.083333333,0
1,6705,0,0.001,58.01,0.083333333,0
1,6706,0,-0.106,59.87,0.083333333,0
1,6707,0,-0.33,62.5556,0.083333333,0
1,6708,1,-0.891,47.01,0.083333333,0
1,6709,0,0.207,72.42,0.083333333,0
1,6710,1,-0.341,65.84,0.083333333,0
1,6711,0,-0.171,57.34,0.083333333,0
1,6712,1,-1.068,62.5556,0.083333333,0
2,3703,0,-0.105,61.9528,1,0
2,3704,0,1.28,70.22,1,0
2,3705,0,1.056,58.78,1,0
2,3706,0,0.8,65.54,1,0
2,3707,0,0.733,59.77,1,0
2,3708,0,0.13,64.07,1,0
2,3709,0,0.682,61.9528,1,0
2,3710,0,0.917,66.83,1,0
2,3711,0,0.81,69.41,1,0
2,3712,0,0.518,56.51,1,0
2,3713,0,0.464,57.22,1,0
2,3714,0,0.552,64.89,1,0
2,3715,0,1.002,70.12,1,0
3,861,1,-0.302,48.76,0.333333333,0
3,862,1,-0.648,44.65,0.333333333,0
3,863,1,-0.448,60.5929,0.333333333,0
3,864,1,-0.096,44.99,0.333333333,0
3,865,1,-0.291,50.9,0.333333333,0
3,866,0,-1.65,42.94,0.333333333,0
3,867,0,-1.125,50.67,0.333333333,0
3,868,1,-1.872,39.67,0.333333333,0
3,869,1,-0.602,37.8,0.333333333,0
3,870,0,-0.922,44.1,0.333333333,0
3,871,1,0.228,57.23,0.333333333,0
3,872,1,0.401,40.97,0.333333333,0
3,873,0,-0.119,37.62,0.333333333,0
3,874,0,-0.45,60.5929,0.333333333,0
3,875,1,-0.246,52.25,0.333333333,0
3,876,0,-0.868,60.5929,0.333333333,0
3,877,1,-0.986,41.6,0.333333333,0
3,878,0,0.132,40.34,0.333333333,0
4,6799,1,0.966,62.7079,1,0
4,6800,1,0.823,62.7079,1,0
4,6801,1,-0.212,62.7079,1,0
4,6802,1,0.895,62.7079,1,0
4,6803,1,1.065,69.04,1,0
4,6804,1,1.251,78.98,1,0
4,6805,1,0.761,62.7079,1,0
4,6806,1,0.9,62.7079,1,0
4,6807,1,1.238,62.7079,1,0
4,6808,1,0.268,62.7079,1,0
4,6809,1,0.867,73.09,1,0
4,6810,1,0.722,71.14,1,0
4,6811,1,0.557,62.7079,1,0
4,6812,1,0.447,62.7079,1,0
4,6813,1,1.117,62.7079,1,0
4,6814,1,1.464,62.7079,1,0
4,6815,1,0.742,71.6,1,0
5,4567,1,-1.499,50.64,1,0
5,4568,0,0.579,62.2767,1,0
5,4569,1,-0.319,51.33,1,0
5,4570,1,-0.172,45.84,1,0
5,4571,1,-0.12,49.97,1,0
