title,year,runtime,votes,rating,genre
#Blue_Whale,2021,91,415,4.9,Drama
#Home,2021,158,16419,8.8,Drama
#Unknown,2021,97,291,4,Horror
#dogpoopgirl,2021,78,563,6.8,Comedy
'83,2021,162,41673,7.5,Biography
'Twas the Fight Before Christmas,2021,91,892,6.3,Documentary
(R)Evolutie,2021,83,138,6.5,Comedy
.dog,2021,97,283,6.2,Drama
100,2021,120,132,5.5,Thriller
100 Minutes,2021,104,239,5.2,Drama
100 días con la Tata,2021,82,564,7.8,Documentary
1000 Miles from Christmas,2021,102,2190,5.9,Comedy
107 Mothers,2021,93,503,6.9,Drama
12 Mighty Orphans,2021,118,9472,6.9,History
12 O'Clock,2021,155,245,3.2,Horror
13 Fanboy,2021,101,1385,3.9,Horror
13 Minutes,2021,108,5843,4.7,Action
137 Shots,2021,104,1239,6.5,Crime
14 Peaks: Nothing Is Impossible,2021,101,31714,7.7,Adventure
14 Phere,2021,111,5438,6.3,Comedy
15 Minutes of Shame,2021,85,1028,6.8,Documentary
15/07: Break of Dawn,2021,95,20695,1.2,Action
1618,2021,90,317,5.7,Drama
18,2021,95,288,6.2,Drama
18 Puasa Di Kampong Pisang,2021,94,106,5.8,Comedy
18½,2021,88,499,4.8,Comedy
1921,2021,138,450,4.4,Drama
1970,2021,70,110,7.3,Documentary
200: Halla Ho,2021,115,1890,7.5,Crime
2025 - The World enslaved by a Virus,2021,92,2680,1,Adventure
21 Mu Tiffin,2021,88,239,8.5,Drama
2gether: The Movie,2021,107,2359,6.6,Comedy
3/19,2021,120,317,6.2,Drama
30 March,2021,99,264,4.4,Crime
30 Rojullo Preminchadam Ela?,2021,143,2779,5.7,Fantasy
3212 Un-redacted,2021,99,119,7.4,Documentary
3:33,2021,133,223,4.9,Drama
4 Kings,2021,139,687,6.3,Action
40-Love,2021,98,343,5.3,Comedy
400 Bullets,2021,89,3979,3.8,Action
420 IPC,2021,98,1500,6.5,Crime
45 Days to Be Rich,2021,74,101,3.5,Comedy
45 Days: The Fight for a Nation,2021,95,185,9,Documentary
4N1K: Dügün,2021,89,148,3,Comedy
4x100: Correndo por um Sonho,2021,91,103,6.8,Drama
60 Seconds to Di3,2021,72,158,3.1,Horror
616 Wilford Lane,2021,85,688,4.2,Horror
69+1,2021,87,320,6.3,Comedy
6:45,2021,96,1035,3.9,Horror
7 Days,2021,86,1481,6.5,Comedy
7 Prisoners,2021,93,9677,7.1,Crime
7 Women and a Murder,2021,82,6806,5.4,Comedy
7 Yards: The Chris Norton Story,2021,93,313,7.8,Documentary
70 Is Just a Number,2021,102,316,6.2,Comedy
7th & Union,2021,93,130,5.3,Drama
8 Winds,2021,93,100,5.7,Comedy
8-Bit Christmas,2021,97,23631,6.7,Comedy
86 Melrose Avenue,2021,84,1031,5.5,Drama
8eraf,2021,88,354,5.3,Comedy
9,2021,105,127,6.5,Drama
9 Hearts,2021,51,152,7.7,Drama
9/11: Four Flights,2021,86,310,7.5,Documentary
9/11: Inside the President's War Room,2021,90,4093,7.5,Documentary
9/11: Minute by Minute,2021,64,294,6.4,Documentary
99.9 Criminal Lawyer: The Movie,2021,120,168,6,Comedy
A (Ad Infinitum),2021,153,1815,6.9,Family
A Banquet,2021,97,1509,4.7,Horror
A Beautiful Curse,2021,92,244,4.7,Drama
A Bird Flew In,2021,91,162,4.9,Drama
A Blue Flower,2021,85,195,6.4,Drama
A Bookshop in Paris,2021,89,868,5.6,Comedy
A Boy Called Christmas,2021,106,29301,6.7,Adventure
A Bride's Nightmare,2021,87,276,4.5,Thriller
A Brixton Tale,2021,76,360,4.8,Drama
A Bunch of Bastards,2021,89,265,4.8,Crime
A Butterfly's Heart,2021,108,117,7,Drama
A California Christmas: City Lights,2021,106,3634,5.6,Comedy
A Castle for Christmas,2021,98,16387,5.6,Adventure
A Change of Heart,2021,112,268,5.8,Drama
A Chiara,2021,121,2448,6.8,Drama
A Choice of Weapons: Inspired by Gordon Parks,2021,89,308,7.5,Documentary
A Christmas Number One,2021,112,1170,5.6,Comedy
A Christmas Tale,2021,104,2019,6.3,Comedy
A Cinderella Story: Starstruck,2021,100,1067,5.5,Comedy
A Classic Horror Story,2021,95,23068,5.7,Drama
A Cop Movie,2021,107,2291,7,Action
A Corsican Summer,2021,124,266,5.5,Drama
A Faraway Land,2021,101,183,5.1,Drama
A Father's Diary,2021,113,2009,6.4,Drama
A Father's Fight,2021,92,3057,4.7,Action
A Feature Film About Life,2021,100,242,7.2,Comedy
A Fiancé for Christmas,2021,85,550,6.3,Comedy
A Forbidden Orange,2021,78,577,6.3,Documentary
A Garota Invisível,2021,83,100,4.7,Comedy
A Girl Returned,2021,110,516,6.9,Drama
A Girl and a Guy,2021,126,232,5.1,Comedy
A Girl on the Shore,2021,107,153,5.3,Drama
A Glimpse of Happiness,2021,52,136,7.1,Comedy
A Glitch in the Matrix,2021,108,2282,5.3,Documentary
A Guide to Gunfighters of the Wild West,2021,74,109,4.4,Comedy
A Hard Day,2021,111,255,6.2,Action
A Hard Problem,2021,109,307,6.1,Drama
A Hero,2021,127,31126,7.5,Drama
A Higher Law,2021,123,1227,6.7,Thriller
A Holiday Chance,2021,110,143,6.2,Comedy
A House on the Bayou,2021,88,7082,5.6,Horror
A Janitor,2021,86,260,5.5,Action
A Jenkins Family Christmas,2021,94,192,5.8,Drama
A Journal for Jordan,2021,131,3088,6,Drama
A Journey to the Stars,2021,102,365,6.7,Biography
A Little Italian Vacation,2021,78,391,3.9,Comedy
A Madder Red,2021,144,110,6.6,Family
A Man Named Scott,2021,95,1800,7.7,Documentary
A Man and A Camera,2021,64,105,6.7,Documentary
A Match Made at Christmas,2021,115,892,5.3,Comedy
A Message from Brianna,2021,80,156,3.4,Horror
A Method in Multishade,2021,91,102,7.4,Comedy
A Mother of No Destination,2021,68,325,1.6,Sci-Fi
A Mouthful of Air,2021,105,3115,6.1,Drama
A Naija Christmas,2021,121,477,5,Comedy
A New Lease on Christmas,2021,87,259,5.4,Romance
A New Old Play,2021,179,607,7.6,Drama
A Night of Knowing Nothing,2021,99,600,7.3,Documentary
A Palace for Putin. The Story of the Biggest Bribe,2021,113,2571,8.6,Documentary
A Perfect Fit,2021,112,744,5.4,Comedy
A Place Called Dignity,2021,99,138,6.2,Drama
A Playful Romance,2021,86,244,5.5,Family
A Pure Place,2021,91,465,5.1,Drama
A Radiant Girl,2021,98,505,6.1,Drama
A Revision,2021,95,141,6.8,Drama
A Rich Christmas,2021,91,191,4.9,Drama
A Savannah Haunting,2021,105,1029,4.6,Horror
A Sexplanation,2021,76,188,7.2,Comedy
A Shattered Diamond,2021,101,167,3.4,Drama
A Sister's Grudge,2021,85,198,4.7,Thriller
A Small Fortune,2021,91,281,5.2,Thriller
A Spark Story,2021,87,217,6.4,Animation
A Spy Movie,2021,84,112,8.1,Comedy
A Stalker in the House,2021,84,281,3.4,Thriller
A Stand Worthy of Men,2021,113,3456,7.1,Comedy
A Tale of Love and Desire,2021,102,1225,6.6,Drama
A Taste of Hunger,2021,104,2221,6.2,Drama
A Unicorn for Christmas,2021,87,829,5,Drama
A Vanishing Fog,2021,76,111,5,Drama
A Violent Man,2021,105,916,5,Crime
A Week Away,2021,94,5664,5.8,Drama
A Wicked Eden,2021,96,161,4.9,Documentary
A Woman at Night,2021,84,282,7.7,Drama
A World Without,2021,107,459,4,Drama
A Writer's Odyssey,2021,130,4563,6.2,Action
A Year from Now,2021,84,130,4.9,Comedy
A1 Express,2021,138,921,6.2,Drama
Aafat-e-Ishq,2021,114,441,4.4,Comedy
Aaha,2021,146,730,6.2,Drama
Aakashavaani,2021,124,3029,6.9,Drama
Aanum Pennum,2021,97,669,5.6,Drama
Aaradugula Bullet,2021,141,312,3.5,Action
Aarkkariyam,2021,126,1728,6.9,Crime
Abducted,2021,105,125,4.4,Thriller
About Pie,2021,87,292,5.1,Comedy
Absence,2021,100,246,6.3,Drama
Absolute Denial,2021,71,105,7.5,Animation
Absolute Proof,2021,120,920,2.9,Documentary
Abu Saddam,2021,96,462,5.5,Drama
Accidental Family,2021,97,390,4.8,Comedy
Ace & the Christmas Miracle,2021,91,141,2.9,Comedy
Acting,2021,71,213,5.1,Horror
Acts of Love,2021,71,290,4.4,Romance
Actual People,2021,84,888,6.2,Drama
Ada Hantu,2021,99,201,6.6,Comedy
Adbhutham,2021,141,1749,7.4,Romance
Addio al nubilato,2021,90,331,5.1,Comedy
Adieu Godard,2021,83,151,5.8,Drama
Adieu Paris,2021,96,400,4.8,Comedy
Adit Sopo Jarwo: The Movie,2021,82,124,5.7,Animation
Adopting Audrey,2021,92,381,5.5,Drama
Adrienne,2021,98,956,7.4,Biography
Adventures in Christmasing,2021,87,151,5.5,Drama
Adventures in Success,2021,98,122,4,Comedy
Aelay,2021,153,785,7,Comedy
Affliction,2021,90,154,5.8,Horror
After Blue,2021,129,1137,5.4,Fantasy
After Chernobyl,2021,81,434,3.2,Horror
After Masks,2021,105,1428,3,Drama
After We Fell,2021,98,22281,4.8,Drama
After Yang,2021,96,24513,6.6,Drama
After the Winter,2021,101,109,6.2,Drama
Afterlife of the Party,2021,109,11038,5.8,Comedy
Aftermath,2021,114,19618,5.3,Drama
Age of Stone and Sky: The Sorcerer Beast,2021,80,110,5.7,Fantasy
Ageless Love,2021,99,114,5.5,Romance
Agent Revelation,2021,86,4468,3.5,Action
Agnes,2021,93,1764,3.8,Drama
Ahed's Knee,2021,109,1533,6.3,Drama
Ahmad Notirdam,2021,101,682,4.7,Comedy
Aileen Wuornos: American Boogeywoman,2021,85,2258,3.8,Biography
Ailey,2021,95,314,6.8,Biography
Ainbo,2021,84,2397,4.9,Adventure
Ajagajantharam,2021,122,2317,6.7,Action
Ajeeb Daastaans,2021,142,6581,6.7,Drama
Ajinkya,2021,143,761,8.7,Romance
Akhanda,2021,167,19780,6.8,Action
Akhirat: A Love Story,2021,112,140,6.1,Drama
Akif,2021,111,299,3.4,Biography
Akoni,2021,94,116,4,Drama
Aksel,2021,110,501,7.4,Biography
Akshara,2021,136,180,5,Thriller
Al Maht,2021,63,522,6.8,Animation
Alaskan Nets,2021,120,110,7.9,Documentary
Albatros,2021,115,466,6,Drama
Alexander of Yugoslavia,2021,95,156,4.6,Biography
Algo Azul,2021,90,146,5.1,Comedy
Ali & Ava,2021,95,3318,6.7,Drama
Ali & the Queens,2021,100,1653,7,Comedy
Alice Fades Away,2021,76,155,3.8,Thriller
Alice in Panchalinadu,2021,108,112,3.9,Thriller
Alien Conquest,2021,87,1103,2.7,Action
Alien: Battlefield Earth,2021,82,272,2,Sci-Fi
Alienated,2021,99,636,5.2,Romance
All Eyes Off Me,2021,88,553,5.6,Comedy
All I Want for Christmas,2021,90,124,7.3,Comedy
"All Light, Everywhere",2021,105,925,6.8,Documentary
All Madden,2021,92,287,8.2,Documentary
All My Friends Hate Me,2021,93,6881,6.3,Comedy
All My Puny Sorrows,2021,103,867,6.1,Drama
All Our Fears,2021,90,559,6.4,Biography
All Those Small Things,2021,107,181,6.3,Drama
All U Need is Love,2021,95,168,4.5,Comedy
All Who Loved Her,2021,94,260,3.1,Drama
All the Happy People,2021,94,147,7.5,Documentary
All the Streets Are Silent: The Convergence of Hip Hop and Skateboarding (1987-1997),2021,89,274,7.1,Documentary
All the World Is Sleeping,2021,110,365,5.1,Drama
All-In,2021,80,343,6.7,Documentary
Alles op tafel,2021,102,1265,6.6,Comedy
Alleyway,2021,67,104,5.5,Action
Alludu Adhurs,2021,149,1136,3.2,Action
Alone with You,2021,83,729,4.9,Horror
Aloners,2021,91,3180,6.9,Drama
Along Came Wanda,2021,95,698,5.6,Comedy
Alors on danse.,2021,105,238,4.6,Comedy
Alpha Rift,2021,94,1504,4.1,Action
Alter Ego,2021,74,161,3,Crime
Alternate Ground,2021,92,157,4.3,Drama
Alvorada,2021,90,226,6.8,Documentary
Am Ende der Worte,2021,91,168,6.3,Crime
Ama,2021,97,273,6.2,Drama
Amaci Olmayan Grup,2021,88,367,2.8,Comedy
Amala,2021,116,483,3.1,Drama
Amarração do Amor,2021,81,139,6.6,Comedy
Amazon Queen,2021,86,4888,4.9,Action
Amber Cops,2021,90,249,5.8,Comedy
America Latina,2021,90,2127,5.9,Drama
America: The Motion Picture,2021,98,7662,5.6,Action
American Dream,2021,83,302,4.4,Action
American Gangster Presents: Big 50 - The Delrhonda Hood Story,2021,95,246,4.4,Drama
American Girl,2021,101,1802,7.1,Drama
American Insurrection,2021,115,1710,3.2,Action
American Mobster: Retribution,2021,71,420,3.9,Action
American Night,2021,123,9134,4.4,Action
American Refugee,2021,94,990,4.3,Drama
American Sicario,2021,101,10942,4.3,Action
American Siege,2021,91,2633,3.4,Action
American Traitor: The Trial of Axis Sally,2021,109,3467,5.7,Drama
American Underdog,2021,112,25939,7.1,Biography
Americanish,2021,91,343,6.2,Comedy
Amina,2021,105,509,4.1,Action
Amira,2021,98,8096,4.1,Drama
Amityville Cop,2021,68,1131,2.4,Horror
Amityville Cult,2021,85,236,2.1,Horror
Amityville Hex,2021,108,104,2.4,Horror
Amityville Scarecrow,2021,88,328,2.4,Horror
Amityville Vampire,2021,92,209,2,Horror
Amityville in the Hood,2021,70,236,1.8,Horror
Amma Deevena,2021,129,1268,5.4,Drama
Ammaa Ki Boli,2021,117,1372,6.6,Comedy
Amor Bandido,2021,80,276,5.4,Crime
Amparo,2021,95,253,6.6,Drama
Amruth Apartments,2021,133,163,6.7,Drama
Amy Tan: Unintended Memoir,2021,101,394,7.8,Biography
An Intrusion,2021,98,494,4.2,Crime
An Ordinary Mother,2021,87,217,6.2,Drama
An Unknown Compelling Force,2021,106,505,6.5,Documentary
Anandham Vilayadum Veedu,2021,147,153,4.9,Drama
Anatolian Leopard,2021,113,444,5.9,Crime
Anatomy of Time,2021,118,255,6.2,Drama
Anaïs in Love,2021,98,2143,6.4,Comedy
Anbirkiniyal,2021,122,419,6.7,Drama
And So the Baton Is Passed,2021,137,401,6.7,Drama
And Tomorrow We Will Be Dead,2021,115,375,6.7,Drama
Andaman,2021,120,381,8.6,Drama
Andie the Great,2021,72,285,6.1,Comedy
Angel Mountain,2021,104,104,5.4,Drama
Angel Street Bride,2021,90,102,3.2,Comedy
Angeliena,2021,95,1443,5.9,Comedy
Angèle,2021,84,650,7,Biography
Animal,2021,105,198,7,Documentary
Animals,2021,91,749,6.5,Crime
Anita,2021,137,1291,7,Biography
Ankahi Kahaniya,2021,110,1033,5.6,Drama
Annaatthe,2021,163,11058,4,Action
Annabelle Sethupathi,2021,135,2568,3.7,Comedy
Anne+,2021,94,2212,6.2,Drama
Annette,2021,141,23498,6.3,Drama
Anonymous Club,2021,86,184,7.1,Documentary
Anonymously Yours,2021,100,2556,5.8,Drama
Another Girl,2021,95,613,4.3,Drama
Another World,2021,96,2555,7,Drama
Anti Indian,2021,140,1078,5.2,Comedy
Antidote,2021,87,1801,4.9,Horror
