participant,VQ_pre,VQ_mid,VQ_post,alpha_pre,alpha_mid,alpha_post
P01,92.19735903125435,99.32532668083658,91.823619903519,334.3979255482924,374.32493405419166,350.63165761291293
P02,127.11847388502645,119.93978163413287,132.97798489656813,430.843740928424,432.73458592918064,447.668156150511
P03,79.94681923015096,87.84048682709742,93.42839040900373,286.00928430918196,326.9190269465231,362.0312422689946
P04,81.81447390491722,82.41692882298202,97.84135940987869,285.72378186695386,299.5679561856855,352.7761848107569
P05,102.11630986777173,104.15939445050059,109.37908181165855,360.6836412475194,381.9046613675042,410.97465461969443
P06,112.23660893012655,113.27087748058517,123.25413413345397,398.2915465173464,437.36779218536395,425.57604141189626
P07,104.57974961803329,107.74755944255666,109.69144021693538,356.50661408727376,370.7130861738438,377.83103022572476
P08,89.38137453154634,98.8349919731661,90.17832924076333,325.8270116501203,363.6164361813884,339.4221931085969
P09,123.42838181559159,119.09145770931366,127.3119423009865,404.2705723048648,411.2027285481769,420.366787464677
P10,140.0960160451034,143.4024463969014,136.41739496258538,473.27240736902826,486.65982593769525,472.45593055677847
P11,70.74394223255244,78.29548442239945,83.56936347234372,265.6427966397991,308.9736636877404,334.8635390175821
P12,124.605723969155,130.98838772872426,135.81730310204253,430.2811754263281,458.7375838816421,475.2794424132366
P13,89.33950150540416,95.78394237261341,100.83516959680676,317.5563060305036,349.73784264297007,372.7200995544034
P14,116.41216342655156,127.74459625102226,118.39121549497493,392.6011223956233,425.90535257869453,419.3319259614313
P15,68.26490192385113,82.50626271107609,78.62522049936533,254.56246547095213,336.8020958180969,323.2464026263845
P16,95.0151485870365,105.11711839228603,101.0179993214786,353.6713331382368,356.57406795958264,350.38563482071504
P17,81.99520565427304,90.3326071254862,91.6569566296473,293.77828125031954,334.0871938350399,347.12138092587026
P18,89.21205454027884,103.02476604965622,98.24027441878967,311.1433578924591,382.90150138376214,363.89368107495477
P19,84.18233725033063,90.5256737600694,82.54670670163725,306.3935776970274,336.38983157101956,315.3547288441369
P20,107.27277151496929,119.04955775790133,113.47269805651969,367.80245309237307,423.8190696626734,405.2757621062337
P21,114.36777122953511,130.79978789547124,127.54661999986446,396.3347969848723,448.12671896314447,439.5208269288089
P22,97.66243650391722,99.67032250816172,103.6593745962484,341.3482978652125,349.67806734581075,358.9860807025319
P23,103.81317159065233,105.8736586890681,106.45940166779964,365.2025185884358,393.57451095144046,392.94852736648977
P24,79.9518253146,92.22766956077227,89.25412003315785,288.6796700345554,313.40803672799996,316.1923527676269
P25,125.84001626810647,122.65178455939565,118.94737303160859,457.1937243404567,453.0697685382303,421.6531469755114
P26,116.63261419545957,112.12740780593504,108.49507842116041,369.7288266306929,378.2559969604792,374.31616694654326
P27,71.31124328190289,82.74408998169062,82.37568976487513,249.11659861018802,313.5141267868248,319.0771759780671
P28,124.50911102501365,127.06939535628305,120.9313442373755,416.73510045583987,425.8908433742945,437.3642981538128
P29,81.01355188341073,97.29762893766244,88.24850826181242,291.79976008507856,362.88075941662316,333.3619580138049
P30,81.27547492799683,89.61685564624015,100.4851033473137,290.5634828978985,312.36576535568213,327.00606247128763
P31,73.5655442844159,87.82565848185354,82.85292778097131,273.294742712203,310.84536536748647,303.13428347180974
P32,80.46048963200698,86.32236610902946,94.00311656037142,288.73113200517815,312.4322235580777,308.65999056682386
P33,97.82365948854807,106.16120371698834,108.10809689118703,334.27603468758866,337.7211465976702,345.5712792358501
P34,118.80057021138757,114.34462055750272,103.3162120492754,411.8172121642464,408.21968439149646,371.2879440132005
P35,86.62850063862041,91.45547349453163,95.85539427103855,319.1981576413108,328.7137639064308,335.6403149544808
P36,102.77202746263082,100.17072359785637,100.98623123538879,357.2757416828609,360.02503171897484,366.78553127716015
P37,98.24236945643122,105.28319183388425,102.56377368947261,328.7834766530371,326.28740969072686,336.9126236597286
P38,119.62630001268705,126.05472067486868,127.40228970118984,406.6879018223681,435.5275261409338,429.01829470366
P39,131.4779834428515,144.02508037737184,130.98954116047528,436.67573816039453,484.76818398725396,456.8590491509453
P40,87.03735598277618,91.98532981251344,102.2250474160104,306.0838709997011,321.02147107233213,333.2380408871751
