gender,smile,nation,population,net_migration_rate,urbanization_pct,gdp_percap_ppp,internet_pct,individualism,masculinity
male,1.6267536666666669,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.0851449,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.4441933333333334,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.7604869999999999,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.7629454,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.325262,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.8968161428571428,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,0.91862932,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,1.03788,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,1.2451755714285715,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,0.7908523333333334,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.770507725,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.341452125,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.07094980000000001,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,1.30437382,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,1.73499,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.32189975000000004,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,0.84903375,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.66429975,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.684152125,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.3043405,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,0.732779,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.01544662222222222,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
female,0.03331426666666667,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
male,0.7857726666666667,IRL,5068050,4,63.4,73200,0.8220000000000001,70,68
