gender,smile,nation
male,1.6267536666666669,IRL
male,0.0851449,IRL
male,0.4441933333333334,IRL
male,0.7604869999999999,IRL
male,0.7629454,IRL
male,0.325262,IRL
male,0.8968161428571428,IRL
female,0.91862932,IRL
male,1.03788,IRL
female,1.2451755714285715,IRL
female,0.7908523333333334,IRL
male,0.770507725,IRL
male,0.341452125,IRL
male,0,IRL
male,0.07094980000000001,IRL
male,1.30437382,IRL
female,1.73499,IRL
male,0.32189975000000004,IRL
female,0.84903375,IRL
male,0.66429975,IRL
male,0.684152125,IRL
male,0.3043405,IRL
female,0.732779,IRL
male,0.01544662222222222,IRL
male,0,IRL
female,0.03331426666666667,IRL
male,0.7857726666666667,IRL
female,1.519942857142857,IRL
female,1.7204744444444444,IRL
male,0.0669441875,IRL
female,1.19121275,IRL
male,0.02937391428571428,IRL
male,0.41810265,IRL
male,1.5917266666666667,IRL
male,0.219307,IRL
male,0.2584107,IRL
male,1.926162,IRL
male,0.5999528888888889,IRL
male,1.582336,IRL
female,1.71504,IRL
male,1.3460688888888888,IRL
female,0.52109744,IRL
male,1.148618142857143,IRL
female,0.985695,IRL
female,1.015442857142857,IRL
male,1.3012155,IRL
male,0,IRL
male,0.6308733333333333,IRL
male,0.435167,IRL
male,0.0027228,IRL
male,0.07984548,IRL
male,0.99528625,IRL
female,0.9864364285714284,IRL
male,0.16618775,IRL
male,0.95245685,IRL
male,0.3135426,IRL
male,1.108232,IRL
female,1.0150844,IRL
female,1.4316374444444444,IRL
female,0.10077133333333334,IRL
male,0,IRL
male,0.0860549,IRL
male,0.7079683333333333,IRL
male,0.030566,IRL
female,1.451325,IRL
male,0.36155825,IRL
male,0.6502204285714286,IRL
female,0.6655294444444444,IRL
female,1.5508617999999998,IRL
male,0.34227842000000003,IRL
male,0.29166,IRL
male,0.77589334,IRL
male,0.2325125111111111,IRL
male,0.8329425,IRL
male,0.31427896666666666,IRL
male,0.53732,IRL
male,0.4902566666666666,IRL
male,0.5904434571428572,IRL
male,0.952444,IRL
male,0.5184255555555556,IRL
female,1.205842,IRL
female,0.6292270249999999,IRL
female,0.7311425,IRL
female,0.6049266666666666,IRL
male,0.7115222833333333,IRL
female,1.155361625,IRL
male,1.1330477,IRL
male,0.398463,IRL
male,0.5056163333333333,IRL
male,1.508205,IRL
male,0.34529190000000004,IRL
male,0.6482365,IRL
male,0.69436,IRL
male,0.7894244285714286,IRL
male,1.257872125,IRL
male,1.3051372857142858,IRL
male,0.7359853333333334,IRL
female,0.48175066666666666,IRL
male,0.44218083333333336,IRL
male,0.5860693333333333,IRL
female,0.225484375,NLD
female,2.102282818181818,NLD
female,0.403796,NLD
female,0.5144533800000001,NLD
male,0.2804508,NLD
female,1.687975,NLD
male,0.4354111666666667,NLD
male,0.32943700000000004,NLD
female,0.152326,NLD
male,0.3993548571428571,NLD
female,0.9501715714285714,NLD
female,0.5358362999999999,NLD
female,0.2906742,NLD
female,0.2067137,NLD
female,0.14511428571428572,NLD
female,0.3078117,NLD
female,1.6828955,NLD
male,0.960881,NLD
male,0.6296723333333334,NLD
female,0.454917,NLD
female,0.5778678,NLD
male,0.2995752,NLD
female,0.04488028333333333,NLD
male,0.0417272,NLD
male,0.31827300000000003,NLD
female,0.8780951555555555,NLD
male,1.300182,NLD
female,1.092625375,NLD
female,1.46914325,NLD
male,0.294707,NLD
female,0.4934868333333333,NLD
female,0.223448175,NLD
female,2.16415,NLD
male,0.06069225,NLD
female,1.140778375,NLD
female,0.09946857142857143,NLD
female,0.278448333,NLD
male,0,NLD
female,1.573196,NLD
male,0.331581,NLD
female,0.8046909999999999,NLD
female,0.5569990909090909,NLD
male,0.11713904,NLD
female,1.4761467499999998,NLD
male,0.33221979999999995,NLD
male,0.7874282,NLD
male,1.5705945,NLD
female,0.2848054,NLD
male,0.9431558,NLD
female,1.9715358333333333,NLD
male,0.498102,NLD
female,0.327044,NLD
female,0.265638625,NLD
male,0.6361249666666667,NLD
male,2.0586366666666667,NLD
male,0.69731,NLD
female,1.182564,NLD
female,0.846656625,NLD
female,0.8883347500000001,NLD
female,0.2609593333333333,NLD
male,0.7675586,NLD
female,1.735423333333333,NLD
female,0.21251820571428573,NLD
female,0.1534945,NLD
male,0.803137,NLD
male,0.6524338333333333,NLD
female,1.3529566666666666,NLD
male,0.6081037142857143,NLD
female,0.16027619999999998,NLD
male,0.04577874,NLD
female,1.71728,NLD
male,0.0652736,NLD
