subject,age_months,program,vocab
1,120,Intervention,62.40760139391278
1,132,Intervention,66.02849013389523
1,144,Intervention,72.83218804307256
1,156,Intervention,83.02641741739498
1,168,Intervention,74.29047153862567
1,180,Intervention,93.59457137108329
2,120,Control,42.481391999448775
2,132,Control,44.585054748986664
2,144,Control,45.766856653707045
2,156,Control,38.053995928670425
2,168,Control,31.584995898657
2,180,Control,34.965799827701645
3,120,Intervention,44.31882724020749
3,132,Intervention,49.3198144419021
3,144,Intervention,65.63692417092432
3,156,Intervention,61.10043100582344
3,168,Intervention,64.98210610521143
3,180,Intervention,81.31634431490608
4,120,Control,64.24838794396716
4,132,Control,65.86974624903455
4,144,Control,69.71778756959914
4,156,Control,77.47811378453464
4,168,Control,81.64357723247804
4,180,Control,90.16468711599289
5,120,Intervention,34.90822461795618
5,132,Intervention,50.517516004334425
5,144,Intervention,59.149081941079864
5,156,Intervention,72.40786940623909
5,168,Intervention,73.20457537374156
5,180,Intervention,90.6417609008782
6,120,Control,52.33584439294774
6,132,Control,51.206086382453435
6,144,Control,60.75481603852077
6,156,Control,54.681852083041164
6,168,Control,60.49069526830414
6,180,Control,59.327522093535464
7,120,Control,60.48105446467829
7,132,Control,60.296536280935264
7,144,Control,73.27634078699275
7,156,Control,80.13491763742863
7,168,Control,83.13374529084206
7,180,Control,94.09043951478668
8,120,Control,51.912676877049485
8,132,Control,58.06082050058077
8,144,Control,60.003738411575405
8,156,Control,56.99277097136503
8,168,Control,60.58911650591332
8,180,Control,71.08647490844508
9,120,Intervention,43.7146890106836
9,132,Intervention,59.80185337639038
9,144,Intervention,54.363914705175425
9,156,Intervention,59.97820845255736
9,168,Intervention,66.57973251109964
9,180,Intervention,62.96743793063474
10,120,Control,56.81113683734575
10,132,Control,61.35562436345017
10,144,Control,62.73055083176376
10,156,Control,76.3614363711935
10,168,Control,88.39095302972171
10,180,Control,88.52619908569939
11,120,Control,38.912224120085256
11,132,Control,41.5540243198962
11,144,Control,42.013523883485014
11,156,Control,45.61873371637357
11,168,Control,44.350084578700745
11,180,Control,58.23071482456794
12,120,Control,54.17862494272631
12,132,Control,59.458834284037486
12,144,Control,69.1791397360777
12,156,Control,59.533136830078305
12,168,Control,68.7221748191296
12,180,Control,71.26348966874579
13,120,Intervention,56.7955425280097
